NaCl_Percent,Target_Temp,Rep,Mercury_Temp,Temp_M01,EC_M01,Temp_M02,EC_M02
0.9,40,2,44,-,-,4365,1044
0.9,40,3,44,-,-,4213,1015
0.9,40,4,44,-,-,4274,1033
0.9,40,5,43,-,-,4216,1034
0.9,50,1,50,-,-,4860,1110
0.9,50,2,50,-,-,4963,1113
0.9,50,3,50,-,-,4944,1097
0.9,50,4,50,-,-,4910,1107
0.9,50,5,50,-,-,4917,1111
0.9,60,1,61,-,-,5736,1231
0.9,60,2,62,-,-,6197,1249
0.9,60,3,62,-,-,6113,1263
0.9,60,4,62,-,-,6146,1260
0.9,60,5,62,-,-,6064,1269
0.9,70,1,70,-,-,6914,1393
0.9,70,2,71,-,-,6627,1384
0.9,70,3,71,-,-,7061,1395
0.9,70,4,71,-,-,7076,1399
0.9,70,5,71,-,-,7039,1389
0.9,80,1,80,-,-,7330,1550
0.9,80,2,79,-,-,6562,1542
0.9,80,3,79,-,-,7256,1509
0.9,80,4,79,-,-,7314,1528
0.9,80,5,79,-,-,6885,1558
1.0,25,1,23,-,-,2190,879
1.0,25,2,22,-,-,2257,883
1.0,25,3,22,-,-,2135,857
1.0,25,4,22,-,-,2111,851
1.0,25,5,23,-,-,2247,879
1.0,30,1,31,-,-,3151,985
1.0,30,2,32,-,-,3153,988
1.0,30,3,33,-,-,3226,986
1.0,30,4,33,-,-,3316,1010
1.0,30,5,33,-,-,3303,1002
1.0,40,1,43,-,-,4194,1092
1.0,40,2,44,-,-,4271,1101
1.0,40,3,44,-,-,4239,1089
1.0,40,4,44,-,-,4185,1099
1.0,40,5,44,-,-,4197,1094
1.0,50,1,50,-,-,4801,1158
1.0,50,2,51,-,-,4925,1168
1.0,50,3,51,-,-,4838,1144
1.0,50,4,51,-,-,5061,1161
1.0,50,5,51,-,-,5053,1157
1.0,60,1,60,-,-,5556,1236
1.0,60,2,60,-,-,5870,1222
1.0,60,3,59,-,-,5741,1225
1.0,60,4,60,-,-,5805,1222
1.0,60,5,60,-,-,5775,1241
1.0,70,1,74,-,-,7297,1424
1.0,70,2,74,-,-,7372,1453
1.0,70,3,74,-,-,7372,1450
1.0,70,4,74,-,-,7372,1456
1.0,70,5,74,-,-,7256,1457
1.0,80,1,84,-,-,7363,1589
1.0,80,2,84,-,-,8331,1639
1.0,80,3,84,-,-,8355,1616
1.0,80,4,84,-,-,8262,1623
1.0,80,5,84,-,-,8391,1617
1.1,25,1,23,-,-,2211,926
1.1,25,2,22,-,-,2166,873
1.1,25,3,23,-,-,2283,929
1.1,25,4,23,-,-,2288,923
1.1,25,5,23,-,-,2266,940
1.1,30,1,32,-,-,3096,1029
1.1,30,2,33,-,-,3263,1032
1.1,30,3,33,-,-,3266,1038
1.1,30,4,34,-,-,3311,1035
1.1,30,5,34,-,-,3169,1038
1.1,40,1,42,-,-,3933,1129
1.1,40,2,43,-,-,4036,1150
1.1,40,3,42,-,-,4223,1142
1.1,40,4,42,-,-,4188,1144
1.1,40,5,43,-,-,3987,1137
1.1,50,1,51,-,-,5057,1185
1.1,50,2,51,-,-,5022,1214
1.1,50,3,51,-,-,5041,1201
1.1,50,4,51,-,-,5026,1185
1.1,50,5,51,-,-,5041,1206
1.1,60,1,60,-,-,5756,1262
1.1,60,2,60,-,-,5953,1259
1.1,60,3,60,-,-,5958,1282
1.1,60,4,60,-,-,6021,1257
1.1,60,5,60,-,-,5901,1264
1.1,70,1,69,-,-,6843,1385
1.1,70,2,69,-,-,6815,1394
1.1,70,3,69,-,-,6836,1376
1.1,70,4,69,-,-,6864,1417
1.1,70,5,69,-,-,6829,1419
1.1,80,1,79,-,-,7749,1593
1.1,80,2,79,-,-,7876,1592
1.1,80,3,79,-,-,8009,1570
1.1,80,4,79,-,-,7988,1583
1.1,80,5,79,-,-,7988,1563
1.2,25,1,24,-,-,2415,980
1.2,25,2,24,-,-,2393,974
1.2,25,3,24,-,-,2410,974
1.2,25,4,24,-,-,2401,993
1.2,25,5,24,-,-,2391,983
1.2,30,1,32,-,-,3187,1057
1.2,30,2,33,-,-,3316,1067
1.2,30,3,33,-,-,3335,1088
1.2,30,4,34,-,-,3319,1093
1.2,30,5,34,-,-,3407,1090
1.2,40,1,40,-,-,3984,1122
1.2,40,2,40,-,-,4045,1128
1.2,40,3,40,-,-,3845,1139
1.2,40,4,41,-,-,4141,1162
1.2,40,5,41,-,-,4088,1148
1.2,50,1,51,-,-,5101,1200
1.2,50,2,51,-,-,5162,1213
1.2,50,3,52,-,-,5191,1203
1.2,50,4,52,-,-,5195,1219
1.2,50,5,52,-,-,5215,1217
1.2,60,1,62,-,-,6097,1264
1.2,60,2,63,-,-,6354,1228
1.2,60,3,63,-,-,6341,1279
1.2,60,4,64,-,-,6318,1279
1.2,60,5,64,-,-,6450,1287
1.2,70,1,72,-,-,7240,1315
1.2,70,2,72,-,-,7305,1311
1.2,70,3,72,-,-,6487,1308
1.2,70,4,72,-,-,6965,1316
1.2,70,5,72,-,-,7289,1300
1.2,80,1,81,-,-,7906,1316
1.2,80,2,81,-,-,8138,1331
1.2,80,3,81,-,-,8216,1354
1.2,80,4,82,-,-,8296,1335
1.2,80,5,82,-,-,8343,1333
1.3,25,1,24,-,-,2257,1010
1.3,25,2,24,-,-,2377,1014
1.3,25,3,24,-,-,2377,1018
1.3,25,4,24,-,-,2340,1009
1.3,25,5,24,-,-,2352,1005
1.3,30,1,36,-,-,2761,1129
1.3,30,2,37,-,-,3213,1134
1.3,30,3,38,-,-,3337,1121
1.3,30,4,38,-,-,3423,1135
1.3,30,5,38,-,-,3372,1134
1.3,40,1,43,-,-,3729,1182
1.3,40,2,43,-,-,3541,1181
1.3,40,3,43,-,-,3672,1159
1.3,40,4,43,-,-,3697,1158
1.3,40,5,43,-,-,3697,1169
1.3,50,1,55,-,-,4119,1238
1.3,50,2,56,-,-,4642,1230
1.3,50,3,56,-,-,4710,1240
1.3,50,4,56,-,-,4842,1237
1.3,50,5,56,-,-,4688,1241
1.3,60,1,61,-,-,4382,1256
1.3,60,2,61,-,-,4823,1274
1.3,60,3,61,-,-,5228,1266
1.3,60,4,62,-,-,5390,1265
1.3,60,5,62,-,-,5351,1264
1.3,70,1,73,-,-,6437,1340
1.3,70,2,76,-,-,6646,1345
1.3,70,3,76,-,-,6673,1349
1.3,70,4,76,-,-,6878,1343
1.3,70,5,76,-,-,7046,1336
1.3,80,1,80,-,-,6726,1385
1.3,80,2,80,-,-,7099,1373
1.3,80,3,81,-,-,7397,1354
1.3,80,4,81,-,-,7248,1344
1.3,80,5,81,-,-,7208,1350
1.4,25,1,24,-,-,2281,1049
1.4,25,2,24,-,-,2221,986
1.4,25,3,24,-,-,2278,1045
1.4,25,4,24,-,-,2295,1050
1.4,25,5,24,-,-,231,1055
1.4,30,1,37,-,-,3311,1169
1.4,30,2,38,-,-,3557,1181
1.4,30,3,38,-,-,3513,1172
1.4,30,4,38,-,-,3552,1178
1.4,30,5,38,-,-,3585,1170
1.4,40,1,41,-,-,3758,1216
1.4,40,2,41,-,-,4024,1199
1.4,40,3,42,-,-,4073,1215
1.4,40,4,43,-,-,4160,1217
1.4,40,5,43,-,-,4175,1217
1.4,50,1,51,-,-,4921,1237
1.4,50,2,52,-,-,5010,1245
1.4,50,3,52,-,-,5125,1255
1.4,50,4,52,-,-,5006,1281
1.4,50,5,52,-,-,5049,1266
1.4,60,1,63,-,-,6146,1305
1.4,60,2,64,-,-,6197,1342
1.4,60,3,64,-,-,6048,1298
1.4,60,4,64,-,-,6130,1341
1.4,60,5,64,-,-,6146,1288
1.4,70,1,73,-,-,6021,1352
1.4,70,2,73,-,-,6857,1386
1.4,70,3,73,-,-,6324,1359
1.4,70,4,74,-,-,6850,1379
1.4,70,5,74,-,-,6950,1372
1.4,80,1,81,-,-,7256,1406
1.4,80,2,84,-,-,7787,1388
1.4,80,3,84,-,-,7720,1377
1.4,80,4,84,-,-,8160,1345
1.4,80,5,84,-,-,7654,1345
1.5,25,1,24,-,-,2190,1071
1.5,25,2,24,-,-,2185,1070
1.5,25,3,24,-,-,2261,1062
1.5,25,4,24,-,-,2288,1057
1.5,25,5,24,-,-,2261,1072
1.5,30,1,36,-,-,2891,1185
1.5,30,2,37,-,-,3114,1190
1.5,30,3,37,-,-,3250,1193
1.5,30,4,37,-,-,3205,1185
1.5,30,5,37,-,-,3221,1182
1.5,40,1,42,-,-,3709,1208
1.5,40,2,43,-,-,3709,1214
1.5,40,3,43,-,-,3649,1223
1.5,40,4,43,-,-,3655,1222
1.5,40,5,43,-,-,3824,1224
1.5,50,1,55,-,-,4150,1236
1.5,50,2,55,-,-,4575,1294
1.5,50,3,55,-,-,4514,1278
1.5,50,4,55,-,-,4510,1282
1.5,50,5,55,-,-,4717,1270
1.5,60,1,60,-,-,5186,1298
1.5,60,2,60,-,-,5249,1303
1.5,60,3,60,-,-,5355,1289
1.5,60,4,60,-,-,5421,1277
1.5,60,5,60,-,-,5430,1288
1.5,70,1,73,-,-,6308,1381
1.5,70,2,74,-,-,7046,1336
1.5,70,3,75,-,-,7039,1383
1.5,70,4,75,-,-,6921,1375
1.5,70,5,75,-,-,6225,1389
1.5,80,1,87,-,-,7414,1417
1.5,80,2,87,-,-,7876,1378
1.5,80,3,87,-,-,7999,1374
1.5,80,4,87,-,-,7645,1373
1.5,80,5,87,-,-,8227,1363
1.6,25,1,23,-,-,2216,1095
1.6,25,2,23,-,-,2187,1087
1.6,25,3,23,-,-,2173,1100
1.6,25,4,23,-,-,2207,1080
1.6,25,5,23,-,-,2192,1099
1.6,30,1,30,-,-,2838,1168
1.6,30,2,30,-,-,3004,1186
1.6,30,3,31,-,-,3007,1158
1.6,30,4,31,-,-,3009,1183
1.6,30,5,31,-,-,2931,1175
1.6,40,1,40,-,-,3978,1232
